career,skill,difficulty,importance,is_required,category,weight
Data Scientist,Python,Intermediate,10,True,core,1.0
Data Scientist,SQL,Intermediate,9,True,core,1.0
Data Scientist,Machine Learning,Intermediate,7,True,core,1.0
Data Scientist,Statistics,Intermediate,9,True,core,1.0
Data Scientist,Data Visualization,Beginner,7,False,intermediate,0.7
Data Scientist,Pandas,Intermediate,6,True,intermediate,0.7
Data Scientist,NumPy,Intermediate,5,True,intermediate,0.7
Data Scientist,Scikit-learn,Intermediate,9,True,core,1.0
Data Scientist,Jupyter,Beginner,2,False,supporting,0.4
Data Scientist,Matplotlib,Intermediate,4,False,intermediate,0.7
Data Scientist,Seaborn,Intermediate,6,False,intermediate,0.7
Data Scientist,Plotly,Advanced,7,False,intermediate,0.7
Data Scientist,R,Intermediate,4,False,intermediate,0.7
Data Scientist,TensorFlow,Advanced,10,True,core,1.0
Data Scientist,PyTorch,Advanced,8,True,core,1.0
Data Scientist,Deep Learning,Intermediate,9,True,core,1.0
Data Scientist,Data Cleaning,Intermediate,7,True,intermediate,0.7
Data Scientist,Feature Engineering,Intermediate,6,True,intermediate,0.7
Data Scientist,Model Evaluation,Intermediate,5,True,core,1.0
Data Scientist,A/B Testing,Advanced,7,False,intermediate,0.7
Data Scientist,Business Intelligence,Beginner,6,False,intermediate,0.7
Data Engineer,Python,Intermediate,10,True,core,1.0
Data Engineer,SQL,Beginner,8,True,core,1.0
Data Engineer,Hadoop,Beginner,7,True,intermediate,0.7
Data Engineer,Spark,Beginner,7,True,intermediate,0.7
Data Engineer,Kafka,Intermediate,5,False,intermediate,0.7
Data Engineer,Docker,Beginner,6,False,intermediate,0.7
Data Engineer,AWS,Beginner,5,False,intermediate,0.7
Data Engineer,ETL,Advanced,9,True,core,1.0
Data Engineer,Data Warehousing,Intermediate,7,False,intermediate,0.7
Data Engineer,PostgreSQL,Intermediate,4,False,intermediate,0.7
Data Engineer,MongoDB,Advanced,4,False,intermediate,0.7
Data Engineer,Redis,Intermediate,5,True,intermediate,0.7
Data Engineer,Elasticsearch,Beginner,6,False,intermediate,0.7
Data Engineer,Kubernetes,Intermediate,4,False,intermediate,0.7
Data Engineer,Terraform,Intermediate,4,True,supporting,0.4
Data Engineer,CI/CD,Advanced,7,False,intermediate,0.7
Data Engineer,Data Governance,Intermediate,5,True,intermediate,0.7
Data Engineer,Linux,Advanced,6,False,intermediate,0.7
Machine Learning Engineer,Python,Beginner,8,True,core,1.0
Machine Learning Engineer,Machine Learning,Beginner,7,True,core,1.0
Machine Learning Engineer,Deep Learning,Beginner,9,True,core,1.0
Machine Learning Engineer,TensorFlow,Advanced,10,True,core,1.0
Machine Learning Engineer,PyTorch,Beginner,10,True,core,1.0
Machine Learning Engineer,MLOps,Beginner,7,True,core,1.0
Machine Learning Engineer,Docker,Intermediate,6,True,intermediate,0.7
Machine Learning Engineer,Kubernetes,Beginner,7,True,intermediate,0.7
Machine Learning Engineer,Scikit-learn,Advanced,7,True,core,1.0
Machine Learning Engineer,NumPy,Beginner,4,False,intermediate,0.7
Machine Learning Engineer,Pandas,Beginner,5,False,intermediate,0.7
Machine Learning Engineer,Jupyter,Beginner,2,False,supporting,0.4
Machine Learning Engineer,Statistics,Advanced,7,True,core,1.0
Machine Learning Engineer,Computer Vision,Intermediate,9,False,core,1.0
Machine Learning Engineer,NLP,Beginner,7,True,core,1.0
Software Engineer,Java,Advanced,7,True,core,1.0
Software Engineer,Python,Advanced,8,True,core,1.0
Software Engineer,JavaScript,Intermediate,9,True,core,1.0
Software Engineer,Git,Beginner,2,True,supporting,0.4
Software Engineer,SQL,Beginner,8,True,core,1.0
Software Engineer,Docker,Beginner,7,False,intermediate,0.7
Software Engineer,Microservices,Advanced,5,False,intermediate,0.7
Software Engineer,CI/CD,Intermediate,7,True,intermediate,0.7
Software Engineer,Agile,Advanced,6,False,intermediate,0.7
Software Engineer,Scrum,Advanced,6,False,intermediate,0.7
Software Engineer,System Design,Intermediate,7,True,intermediate,0.7
Software Engineer,Distributed Systems,Beginner,6,False,intermediate,0.7
Frontend Developer,HTML,Intermediate,5,True,intermediate,0.7
Frontend Developer,CSS,Intermediate,7,True,intermediate,0.7
Frontend Developer,JavaScript,Intermediate,9,True,core,1.0
Frontend Developer,React,Beginner,7,False,intermediate,0.7
Frontend Developer,TypeScript,Intermediate,7,False,intermediate,0.7
Frontend Developer,Git,Beginner,2,True,supporting,0.4
Frontend Developer,Angular,Advanced,7,True,intermediate,0.7
Frontend Developer,Vue.js,Advanced,5,False,intermediate,0.7
Backend Developer,Python,Intermediate,7,True,core,1.0
Backend Developer,Java,Advanced,7,True,core,1.0
Backend Developer,Node.js,Advanced,5,False,intermediate,0.7
Backend Developer,SQL,Beginner,8,True,core,1.0
Backend Developer,Microservices,Advanced,7,True,intermediate,0.7
Backend Developer,Docker,Intermediate,7,False,intermediate,0.7
Backend Developer,Flask,Beginner,6,False,intermediate,0.7
Backend Developer,Django,Beginner,6,True,intermediate,0.7
Backend Developer,Spring Boot,Beginner,7,False,intermediate,0.7
Backend Developer,Express.js,Beginner,4,False,intermediate,0.7
Backend Developer,API Design,Beginner,7,True,intermediate,0.7
DevOps Engineer,Docker,Intermediate,6,True,intermediate,0.7
DevOps Engineer,Kubernetes,Intermediate,4,False,intermediate,0.7
DevOps Engineer,AWS,Advanced,4,False,intermediate,0.7
DevOps Engineer,Jenkins,Beginner,4,False,supporting,0.4
DevOps Engineer,Terraform,Intermediate,3,False,supporting,0.4
DevOps Engineer,Linux,Advanced,5,True,intermediate,0.7
DevOps Engineer,Shell Scripting,Beginner,7,True,intermediate,0.7
DevOps Engineer,CI/CD,Intermediate,6,False,intermediate,0.7
