job_id,title,company,location,min_salary,max_salary,required_skills,experience_level,job_type,posted_date,application_deadline,url
JOB_7419,Staff Data Scientist,Innovation Hub,United States,49775,74662,"Kotlin, C#, PHP, Machine Learning, Ruby, JavaScript",Lead,Full-time,2024-08-22,2024-04-22,https://example.com/jobs/1964
JOB_8344,Associate Data Scientist,StartupXYZ,India,96673,145010,"SQL, Rust, PHP, Data Science, C#",Entry,Full-time,2024-09-05,2024-05-25,https://example.com/jobs/4774
JOB_3211,Associate Data Scientist,Innovation Hub,Canada,81632,122449,"Statistics, Machine Learning, Python, Data Science, SQL, C#",Senior,Part-time,2024-09-11,2024-10-12,https://example.com/jobs/3761
JOB_8839,Data Scientist Manager,Smart Solutions,India,50923,76384,"Deep Learning, JavaScript, Go, Swift, Rust, C#",Entry,Remote,2024-05-03,2024-04-28,https://example.com/jobs/7066
JOB_3942,Staff Data Scientist,TechCorp,Switzerland,74702,112053,"Python, Statistics, C#, Kotlin",Lead,Remote,2024-11-11,2024-12-07,https://example.com/jobs/9526
JOB_4265,Data Scientist Lead,Enterprise Corp,India,113727,170590,"JavaScript, MATLAB, Statistics, Machine Learning, Kotlin",Entry,Contract,2024-12-08,2024-08-11,https://example.com/jobs/3421
JOB_4449,Junior Data Scientist,InnovateTech,Sweden,92028,138042,"Data Science, R, Julia, PHP, Python",Entry,Full-time,2024-12-03,2024-12-03,https://example.com/jobs/9597
JOB_8018,Associate Data Engineer,FutureSystems,United States,107166,160749,"JavaScript, Julia, Scala",Senior,Full-time,2024-01-16,2024-06-21,https://example.com/jobs/7839
JOB_8885,Principal Data Engineer,InnovateTech,India,82466,123699,"Java, Deep Learning, Julia, Data Science, PHP, MATLAB",Entry,Contract,2024-09-27,2024-08-12,https://example.com/jobs/8180
JOB_5034,Data Engineer Manager,DataFlow Inc,Brazil,95794,143691,"Swift, Statistics, Scala, PHP",Senior,Full-time,2024-09-19,2024-02-03,https://example.com/jobs/4242
JOB_6318,Data Engineer Manager,TechCorp,Japan,96814,145221,"Machine Learning, MATLAB, Java",Mid,Part-time,2024-11-28,2024-06-15,https://example.com/jobs/7699
JOB_7070,Associate Machine Learning Engineer,Digital Future,United States,74739,112108,"Ruby, Python, Rust, Statistics",Senior,Full-time,2024-12-20,2024-12-18,https://example.com/jobs/4537
JOB_5724,Associate Machine Learning Engineer,Digital Future,Singapore,106181,159272,"Statistics, PHP, C#, Kotlin, R",Mid,Remote,2024-01-25,2024-05-11,https://example.com/jobs/8879
